running_time,audience,screens,actor_changed,director_changed,scriptwriter_changed,writer_changed,genre_SF,genre_가족,genre_공연,genre_공포,genre_기타,genre_다큐멘터리,genre_드라마,genre_로맨스,genre_뮤지컬,genre_미스터리,genre_범죄,genre_사극,genre_서부극,genre_성인물,genre_스릴러,genre_애니메이션,genre_액션,genre_어드벤처,genre_전쟁,genre_코미디,genre_판타지,series_0,series_1,기타,미국_캐나다,유럽,일본,중국_대만_홍콩,한국,12세관람가,15세관람가,전체관람가,청소년관람불가,corona_0,corona_1
2,7051237,2.87482007351184,4.592685017001676,-0.010186595725483152,3.268594719034498,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
3,6982940,7.310510836377927,6.051635544907688,-0.010186595723455077,11.006965051057724,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
3,6975631,3.4872102161463365,2.246767855008911,-0.010186595725437751,0.48485158285420005,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,6959083,3.841403433778181,1.8340525447093219,-0.010186595726403978,-0.20295725035793338,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
2,6880546,3.75533779211063,0.4263585250398448,-0.010186595726449844,-0.20295725035793338,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
3,6879989,4.318074679936925,4.155375906679647,-0.010186595723981813,4.9781949952988045,-0.09919535597798028,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,6847777,1.0310292116339217,2.352700719414095,-0.010186595725044796,2.746666296900304,0.046024646040021044,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
3,6686912,2.1333314683760163,3.0852700088451295,-0.010186595725638134,1.5010667744637762,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,6655501,2.229327761005208,0.967620452244698,-0.010186595726516898,-0.34366320961064933,-0.09919535597798028,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,6619498,0.786073154580123,1.1865158326978626,-0.010186595726449844,-0.20295725035793338,-0.09919535597798028,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
3,6592151,6.11221228700664,3.302810586050475,-0.010186595723656836,8.550566752492438,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
3,6584915,5.880497097901696,2.7067892372687172,-0.010186595724127633,5.011970524544472,17.451168632168198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
3,6428574,3.4077650084532127,0.9006961338247311,-0.010186595724475335,-0.20295725035793338,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
3,6282774,1.0608211645188432,3.1758074403358107,-0.010186595726123406,0.4823321046633392,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
3,6247745,3.4077650084532127,5.7025579960998956,-0.010186595724245986,1.9236841914136567,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
3,6136928,1.4282552500995414,3.2564336876105062,-0.010186595723412866,6.172590298433923,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0
3,6129681,1.812240420616307,0.2830320607262167,-0.01018659572602617,0.3858890933850495,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
3,6126488,3.3812832725555046,3.493792769740464,-0.010186595725975396,-0.20295725035793338,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
3,6105431,0.7496607677207745,1.0728430752134064,-0.01018659572650148,0.8598051193091955,-0.09919535597798028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
3,6045726,2.7556522619721537,3.2212616044344653,-0.010186595726449844,-0.20295725035793338,-0.09919535597798028,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
3,6014577,1.1601276741352482,0.9813455621435905,-0.01018659572518135,0.9923863059521901,-0.09919535597798028,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
